count,takeoff,date,date2,time
1,kovk,30. 12. 2012,2012-12-30,89
1,kovk,06. 01. 2013,2013-01-06,82
2,lijak,01. 03. 2013,2013-03-01,165
1,lijak,16. 03. 2013,2013-03-16,92
3,lijak,22. 03. 2013,2013-03-22,195
2,dobrča,19. 08. 2014,2014-08-19,60
6,dobrča,23. 08. 2014,2014-08-23,180
4,dobrča,24. 08. 2014,2014-08-24,120
1,dobrča,07. 06. 2015,2015-06-07,30
1,dobrča,08. 06. 2015,2015-06-08,30
1,dobrča,09. 06. 2015,2015-06-09,30
1,dobrča,10. 06. 2015,2015-06-10,30
1,lijak,03. 04. 2015,2015-04-03,30
1,ambrož,12. 04. 2015,2015-04-12,30
1,dobrča,04. 03. 2015,2015-03-04,30
1,dobrča,08. 05. 2015,2015-05-08,30
1,dobrča,14. 05. 2015,2015-05-14,30
1,lijak,19. 05. 2015,2015-05-19,30
2,dobrča,01. 06. 2015,2015-06-01,60
1,ambrož,01. 06. 2015,2015-06-01,30
1,ambrož,02. 06. 2015,2015-06-02,30
1,kobala,02. 06. 2015,2015-06-02,30
1,dobrča,07. 06. 2015,2015-06-07,30
2,dobrča,08. 06. 2015,2015-06-08,60
3,dobrča,11. 06. 2015,2015-06-11,90
1,dobrča,12. 06. 2015,2015-06-12,30
1,dobrča,18. 06. 2015,2015-06-18,30
1,vogel,21. 06. 2015,2015-06-21,30
4,dobrča,22. 06. 2015,2015-06-22,120
2,dobrča,27. 06. 2015,2015-06-27,60
1,kobala,28. 06. 2015,2015-06-28,30
2,kobala,30. 06. 2015,2015-06-30,60
2,kobala,04. 07. 2015,2015-07-04,60
1,kobala,05. 07. 2015,2015-07-05,30
1,kobala,05. 07. 2015,2015-07-05,30
1,dobrča,07. 07. 2015,2015-07-07,30
1,kobala,10. 07. 2015,2015-07-10,30
1,kobala,11. 07. 2015,2015-07-11,30
2,kobala,11. 07. 2015,2015-07-11,60
1,kobala,19. 07. 2015,2015-07-19,30
1,kobala,19. 07. 2015,2015-07-19,30
1,kobala,19. 07. 2015,2015-07-19,30
