takeoff,takeoff_no,landing,duration,distance,competitors_no,result_place,date,desc,max_alt,max_lift,glider
Malic,1,"",6,-nan,-nan,-nan,"1996-09-02",Braslovce odpadle,null,null,wind
Lijak N.G.,1,"",90,-nan,-nan,-nan,"1996-09-05",Lijak zakljucni L skok,null,null,wind
Ulovka,1,Orel,3,-nan,-nan,-nan,"1996-09-07","",null,null,wind
Ulovka,1,Orel,3,-nan,-nan,-nan,"1996-09-07","",null,null,wind
Ulovka,1,Kuren,7,-nan,-nan,-nan,"1996-09-08",Smer Kuren,null,null,wind
Ulovka,1,Krosl,6,-nan,-nan,-nan,"1996-09-08",Smer kroslov-cez,null,null,wind
Ulovka,1,Kuren,9,-nan,-nan,-nan,"1996-09-09","",null,null,wind
Ulovka,1,Podlipa,8,5000,-nan,-nan,"1996-09-09","",null,null,wind
Ulovka,1,Podlipa,20,5000,-nan,-nan,"1996-10-10",Peglanje pod Ulovko,null,null,wind
Ulovka,1,Podlipa,30,5000,-nan,-nan,"1996-10-10",Peglanje pod Ulovko,null,null,wind
Rahtel Sloven G.,1,"",10,-nan,137,23,"1996-10-11",Zadnja tekma za drzavno,null,null,wind
Rahtel Sloven G.,1,"",15,-nan,137,23,"1996-10-11",Zadnja tekma za drzavno,null,null,wind
Rahtel Sloven G.,1,"",5,-nan,137,23,"1996-10-11",Zadnja tekma za drzavno,null,null,wind
Strmca,1,"",20,-nan,-nan,-nan,"1996-10-18",Prvi pristanek na hribu,null,null,wind
Strmca,1,"",6,-nan,-nan,-nan,"1996-10-18",Prvi pristanek na hribu,null,null,wind
Strmca,1,"",4,-nan,-nan,-nan,"1996-10-18",Prvi pristanek na hribu,null,null,wind
Lijak N.G.,1,"",85,-nan,100,21,"1996-10-19",Nagrade do 20 mesta,null,null,wind
Lijak N.G.,1,"",5,-nan,100,21,"1996-10-19",Nagrade do 20 mesta,null,null,wind
Ulovka,1,"",4,-nan,-nan,-nan,"1996-10-22",Curjenje v stilu,null,null,wind
Zavrh,1,"",38,6000,-nan,-nan,"1996-10-23",Prvi start na Zavrhu,null,null,wind
Zavrh,1,"",6,-nan,-nan,-nan,"1996-10-24",Curjenje v borovnico,null,null,wind
Strmca,1,"",120,-nan,-nan,-nan,"1996-10-30",Naslonu padal na borovce,null,null,wind
Strmca,1,"",3,-nan,-nan,-nan,"1996-10-30",Naslonu padal na borovce,null,null,wind
Strmca,1,"",5,-nan,-nan,-nan,"1996-10-30",Naslonu padal na borovce,null,null,wind
Strmca,1,"",30,-nan,-nan,-nan,"1996-11-01",Divje,null,null,wind
Strmca,1,"",4,-nan,-nan,-nan,"1996-11-01",Divje,null,null,wind
Strmca,1,"",3,-nan,-nan,-nan,"1996-11-01",Divje,null,null,wind
Racna Gora,1,"",6,-nan,-nan,-nan,"1996-11-02",Usesa solski krog,null,null,wind
Racna Gora,1,"",5,-nan,-nan,-nan,"1996-11-02",Usesa solski krog,null,null,wind
Racna Gora,1,"",5,-nan,-nan,-nan,"1996-11-02",Usesa solski krog,null,null,wind
Zavrh,1,"",5,-nan,-nan,-nan,"1996-11-08",Borovnica vabi,null,null,wind
Koreno,1,"",4,-nan,-nan,-nan,"1996-11-14",Prvi start na Korenu,null,null,wind
Lijak N.G.,1,"",5,-nan,-nan,-nan,"1996-12-04",curjenje,null,null,wind
Kovk AJ.,1,"",22,-nan,-nan,-nan,"1996-12-05",boj-curjenje,null,null,wind
Lijak N.G.,1,"",40,-nan,-nan,-nan,"1996-12-07",boj-navijanje-uspeh,null,null,wind
Lijak N.G.,1,"",5,-nan,-nan,-nan,"1996-12-14",boj-navijanje-curjenje 2x,null,null,wind
Lijak N.G.,1,"",10,-nan,-nan,-nan,"1996-12-14",boj-navijanje-curjenje 2x,null,null,wind
Lijak N.G.,1,"",31,-nan,-nan,-nan,"1996-12-28",jadranje 3dviganja,null,null,wind
Slivnica,1,"",8,-nan,-nan,-nan,"1997-01-16",lep dan (doma mgla) - let v dolino,null,null,wind
Lijak N.G.,1,"",6,-nan,-nan,-nan,"1997-01-17",O p r a v i l   A   i z p i t,null,null,wind
Lijak N.G.,1,"",75,-nan,-nan,-nan,"1997-01-24",lep dan za jadranje,null,null,wind
Zavrh,1,"",5,-nan,-nan,-nan,"1997-01-26",mocan veter z leve,null,null,wind
Lijak N.G.,1,"",60,-nan,-nan,-nan,"1997-01-29",lep dan za jadranje,null,null,wind
Kovk AJ.,1,"",105,27400,-nan,-nan,"1997-01-30",PRVI PRELET,null,null,wind
Zavrh,1,"",5,-nan,-nan,-nan,"1997-02-06",Sipka burja,null,null,wind
Lijak N.G.,1,"",95,11500,-nan,-nan,"1997-02-07",Let prek rampe do cavna,null,null,wind
Lijak N.G.,1,"",90,-nan,-nan,-nan,"1997-02-08",Navijanje okoli starta,null,null,wind
Ambroz,2,"",10,-nan,-nan,-nan,"1997-02-14",Ni mi uspelo zriniti cez drajte.,null,null,wind
Zavrh,1,"",8,-nan,-nan,-nan,"1997-02-15",Sam sem si kriv,null,null,wind
Zavrh,1,"",57,7400,-nan,-nan,"1997-02-16",Prvi pristanek na VRHNIKI,null,null,wind
Strmca,1,"",4,-nan,-nan,-nan,"1997-02-21",curjenje,null,null,wind
Kovk AJ.,1,"",98,21400,-nan,-nan,"1997-02-21",jadranje pristanek na vrhu ponovno jadranje,1130,null,wind
Kovk AJ.,1,"",60,21400,-nan,-nan,"1997-02-21",jadranje pristanek na vrhu ponovno jadranje,1130,null,wind
Zabocevo,1,"",92,-nan,-nan,-nan,"1997-02-27",Prvic letel in jadral na Zabocevem (otvoritev),1500,null,wind
Zabocevo,1,"",6,-nan,-nan,-nan,"1997-02-28",Let v dolino,null,null,wind
Zavrh,1,"",30,-nan,-nan,-nan,"1997-03-06",Let preko kamnoloma do lj. vrha do dolgih leh,1300,null,wind
Lijak,1,"",105,11500,-nan,-nan,"1997-03-08",Lijak - zmajarska - lijak - Danijel - Lijak,1500,null,wind
Ambroz,1,"",60,-nan,-nan,-nan,"1997-03-11",Trenining - zelo sipka termika,null,null,wind
Zabocevo,1,"",15,-nan,-nan,-nan,"1997-03-13",Sipka termika curjenje Andrej,Grega - obesanje,null,null,wind
Zabocevo,1,"",12,-nan,-nan,-nan,"1997-03-13",Sipka termika curjenje Andrej,Grega - obesanje,null,null,wind
Strmca,1,"",35,-nan,-nan,-nan,"1997-03-15",Vecerno jadranje po odhodu drugih.,null,null,wind
Zabocevo,1,"",32,-nan,-nan,-nan,"1997-03-20",Lepo termicno jadranje okoli starta in krimcka,null,null,wind
Strmca,1,"",35,-nan,-nan,-nan,"1997-03-20",Visenje v zelo mocnem zahodniku in beg,null,null,wind
Zavrh,1,"",14,-nan,-nan,-nan,"1997-03-25",Sam sem scuru - Mojca Erzo pa na Vrhniko,null,null,wind
Zavrh,1,"",25,-nan,-nan,-nan,"1997-03-31",Divje - rotorji in mocan veter,null,null,wind
Zabocevo,1,"",5,-nan,-nan,-nan,"1997-04-01",Sipka termika - rotor,null,null,wind
Zavrh,1,"",38,-nan,-nan,-nan,"1997-04-01",Tezave na startu-jadranje-let do avtoceste,null,null,wind
Lijak N.G.,1,"",45,-nan,-nan,-nan,"1997-04-05",Mocan veter - mnogi smo imeli tezave,null,null,wind
Ambroz,1,"",15,-nan,-nan,-nan,"1997-04-09",1curjenje-2cudovito jadranje okoli antene na Krvavcu,1850,null,wind
Ambroz,1,"",80,-nan,-nan,-nan,"1997-04-09",1curjenje-2cudovito jadranje okoli antene na Krvavcu,1850,null,wind
SV.Lovrenc,1,"",10,-nan,-nan,-nan,"1997-04-11",Velik zanos v stbru curjenje - nov start,null,null,wind
Zabocevo,1,"",7,-nan,-nan,-nan,"1997-04-11",Zaprtje (oblakov) curjenje-Grega je jadral 25min,null,null,wind
Lijak N.G.,1,"",80,-nan,-nan,-nan,"1997-04-12",Mocan veter - poberanje s tal - kapljice dezja na 1200m,1200,null,wind
Zavrh,1,"",15,-nan,-nan,-nan,"1997-04-16",Curjenje -zaprtje-kasneje Mojca na 2100m,null,null,wind
Zabocevo,1,"",78,-nan,-nan,-nan,"1997-04-16",eno uro prepozni jadranje Jernej na3000m,1200,null,wind
Gozd pod Krisko,1,"",146,-nan,-nan,-nan,"1997-04-18",Kriska 2700-storzic-kriska-storzic-kriska akrobacije,2700,null,wind
Zabocev,1,"",10,-nan,-nan,-nan,"1997-04-23",Startal 14.30 in scuru pes na start-let v podpec,1900,null,wind
Zabocev,1,"",45,-nan,-nan,-nan,"1997-04-23",Startal 14.30 in scuru pes na start-let v podpec,1900,null,wind
Zabocevo,1,"",121,36130,-nan,-nan,"1997-04-24",Zabocev 2400 - krim 1700m - Ljubljana 800-2500-Moravce1000,2569,4.5,wind
Racna Gora,1,"",6,-nan,127,-nan,"1997-04-25",Tekma na piko trije starti oblacnost, pred dezjem,null,null,wind
Racna Gora,1,"",7,-nan,127,-nan,"1997-04-25",Tekma na piko trije starti oblacnost, pred dezjem,null,null,wind
Racna Gora,1,"",7,-nan,127,-nan,"1997-04-25",Tekma na piko trije starti oblacnost, pred dezjem,null,null,wind
Zavrh,1,"",5,-nan,-nan,-nan,"1997-04-27",Trening za pristajanje na piko,null,null,wind
Studor,1,"",5,-nan,140,49,"1997-05-01",Tekma na piko za drzavnga - Vrhnika ni bila prevec uspesna,null,null,wind
Kobala,1,"",84,-nan,-nan,-nan,"1997-05-01",Liga dirka-Jadranje po dirki ob 6.30 - Prvic na liga tekmi,1350,3.5,wind
Lijak N.G.,1,"",12,-nan,-nan,-nan,"1997-05-09",Slabo vreme na Lijaku - Trstelj v soncu,null,0.3,wind
Lijak N.G.,1,"",8,-nan,-nan,-nan,"1997-05-09",Slabo vreme na Lijaku - Trstelj v soncu,null,0.3,wind
Strmca,1,"",15,-nan,-nan,-nan,"1997-05-09",Z lijaka pa direkt na strmco peglat.,null,2,wind
Lijak N.G.,1,"",17,36000,-nan,-nan,"1997-05-10",Prvic opravil Kurirckovo transverzalo-Grega Visna Gora,1845,5,wind
Lijak N.G.,1,"",125,36000,-nan,-nan,"1997-05-10",Prvic opravil Kurirckovo transverzalo-Grega Visna Gora,1845,5,wind
Zavrh,1,"",35,-nan,-nan,-nan,"1997-05-13",Jadranje na trebevniku let na verd,850,1.5,wind
Zavrh,1,"",25,-nan,-nan,-nan,"1997-05-14",Petindvajset minutno curjenje Start ob 16:35,null,0.9,wind
Zavrh,1,"",45,-nan,-nan,-nan,"1997-05-15",Skoraj scuru-batina 9m/s dviga - kos7m visina 1490m,1490,7,wind
Lijak N.G.,1,"",163,-nan,-nan,-nan,"1997-05-17",Lijkak-Cavn-Kovk-za Nanosom kumulo nimbus,1461,3.8,wind
Strmca,1,"",25,-nan,-nan,-nan,"1997-05-22",Visenje na strmci precej mocan zahodnik,1050,1.5,wind
Strmca,1,"",78,-nan,-nan,-nan,"1997-05-22",Visenje na strmci precej mocan zahodnik,1050,1.5,wind
Ambroz,1,"",19,-nan,-nan,-nan,"1997-05-23",Sipka termika jadranje nad grajskim hribom,null,1,wind
Zavrh,1,"",6,-nan,-nan,-nan,"1997-05-23",Metanje v nulo,null,0,wind
Zabocevo,1,"",105,-nan,-nan,-nan,"1997-05-25",Jadranje na Zabocevem in nato let na Vrhniko-stadion-prvic,1780,3.5,wind
Strmca,1,"",45,-nan,-nan,-nan,"1997-05-26",Jadranje na strmci prvic z Roxom - let na planino,1130,2,rox
Zabocev,1,"",130,25000,-nan,-nan,"1997-05-28",Let z Roxom na Slivnico in nazaj na Zabocev na Z. sem pobral,2150,3.4,rox
Strmca,1,"",90,-nan,-nan,-nan,"1997-05-29",Nenavadno jadranje za strmco visina 1700m,1700,5,rox
Zavrh,1,"",55,10000,-nan,-nan,"1997-05-30",Najvisji potem pa prvic let na ST Vrhniko- Erzo jaz in Dane,1100,3,rox
Strmca,1,"",40,-nan,-nan,-nan,"1997-06-05",Jadranje na strmci 40minpotem pa na zur-Stolp-Tolmin,1130,1,rox
Zavrh,1,"",45,-nan,-nan,-nan,"1997-06-06",Iz Tolmina pa na Zavrh jadrat za eno uro,1200,2.4,rox
Planina-Stolp,1,"",44,-nan,-nan,-nan,"1997-06-08",Prvi start na Planini-Stolp jadranje pod bazo 1313m-44minut,1313,2.7,rox
Strmca,1,"",120,-nan,-nan,-nan,"1997-06-11",Strmca nekej posebnga termicna- brez obracanja stbrov scuris,1480,3.5,rox
Zabocev,1,"",60,-nan,-nan,-nan,"1997-06-14",Skoraj scuru takoj po startu potem pa navil na 1890m,1800,4,rox
Strmca,1,"",50,-nan,-nan,-nan,"1997-06-16",Peglanje na strmci,930,1.3,rox
Gozd pod Krizko goro,1,"",5,-nan,-nan,-nan,"1997-06-21",Skok pred dezjem,null,0,rox
Zavrh,1,"",5,-nan,-nan,-nan,"1997-06-22",Nevihta na vidiku -vzlet in bezanje,null,3,rox
Zavrh,1,"",30,-nan,-nan,-nan,"1997-06-23",Nevihta na Javorcu veliko problemov pristanek pri Malci,1200,5,rox
Zabocev,1,"",5,-nan,-nan,-nan,"1997-06-23",Trening za piko - merjenje finese pristanek pri gostilni,null,0,rox
Lepenatka,1,"",5,-nan,-nan,-nan,"1997-06-24",Pika tekma potem pa jadranje -prelep razgled,1855,3.7,rox
Lepenatka,1,"",75,-nan,-nan,-nan,"1997-06-24",Pika tekma potem pa jadranje -prelep razgled,1855,3.7,rox
Kovk,1,"",55,-nan,-nan,-nan,"1997-06-26",Zvecer jadranje kot na strmci (Juri jaz inGrega z Tandemom,1190,1.5,rox
Srednji vrh,1,"",5,-nan,-nan,-nan,"1997-06-27",Prvi start na Sr.vrhu termike pa ni in ni,null,0,rox
Planina - stolp,1,"",15,-nan,-nan,-nan,"1997-06-28",razrukano posledica tezave pri navijanju stbrov - velik zanos,null,2.5,rox
Zavrh,1,"",15,-nan,-nan,-nan,"1997-06-28",Poberanje iznad skakalnice velik zanos proti pklu,null,1,rox
Zabocev,1,"",10,-nan,-nan,-nan,"1997-06-28",Start ob 17:00 - pozn start ceprav sta Erzo in Slavc jadrala,null,1,rox
Kovk,1,"",101,29000,-nan,-nan,"1997-07-01",Slavc in jaz sva letela v Postojno - 29km obratna Nanos,1697,3.7,rox
Strmca,1,"",20,-nan,-nan,-nan,"1997-07-01",Peglanje na strmci,null,1,rox
Strmca,1,"",8,-nan,-nan,-nan,"1997-07-02",Curjenje na strmci,null,0.5,rox
Gozd pod Krizko,1,"",120,-nan,-nan,-nan,"1997-07-03",Jadranje na Krizki-storzicu-2265mbaza,2265,4,rox
Strmca,1,"",60,-nan,-nan,-nan,"1997-07-04",Jadranje na strmci test hitosti nimbus-rox rezultat isto,980,1,rox
Zabocev,1,"",60,-nan,-nan,-nan,"1997-07-05",Jadranje na Krimscku visina dneva 1320m-velik zanos,1320,2,rox
