YearsMonths,Duration,Flights
"1996-9",2.2,8
"1996-10",6.27,16
"1996-11",1.03,8
"1996-12",1.88,6
"1997-1",4.32,6
"1997-2",8.75,12
"1997-3",6.05,10
"1997-4",12,18
"1997-5",18.12,20
"1997-6",9.73,17
"1997-7",26.13,25
"1997-8",44.55,30
"1997-9",25.8,26
"1997-10",17.83,23
"1997-11",7.22,11
"1997-12",9.37,12
"1998-1",9.8,12
"1998-2",21.32,30
"1998-3",24.47,16
"1998-4",12.17,10
"1998-5",27.98,21
"1998-6",28.2,20
"1998-7",45.43,23
"1998-8",29.08,18
"1998-9",15.23,14
"1998-10",9.15,8
"1998-11",6.55,5
"1998-12",3.73,5
"1999-1",3.25,8
"1999-2",7.47,7
"1999-3",11.3,7
"1999-4",16.7,13
"1999-5",23.7,17
"1999-6",25.68,14
"1999-7",16.73,13
"1999-8",19.12,18
"1999-9",11.18,16
"1999-10",13.9,18
"1999-11",10.22,13
"1999-12",5.5,5
"2000-1",7.97,10
"2000-2",17.45,16
"2000-3",7.32,3
"2000-4",29.47,13
"2000-5",38.83,14
"2000-6",28.45,14
"2000-7",15.97,9
"2000-8",28.5,13
"2000-9",1,1
"2007-4",28.28,8
"2007-5",16.38,50
"2007-6",10.8,15
"2007-7",15.72,13
"2007-8",12.57,5
"2007-9",29.43,11
"2007-10",1.2,1
"2007-11",0.25,1
"2008-1",1.62,5
"2008-2",5.97,8
"2008-3",9.97,20
"2008-4",16.37,10
"2008-5",23.53,11
"2008-6",29.3,20
"2008-7",4.52,9
"2008-8",38.08,15
"2008-9",9.67,13
"2008-10",22.25,10
"2008-11",2.25,3
"2008-12",1,3
"2009-1",1.25,3
"2009-2",9.22,6
"2009-3",17.53,10
"2009-4",9.48,7
"2009-5",32.8,14
"2009-6",25.63,14
"2009-7",5.87,8
"2009-9",15,6
"2009-10",2.75,4
"2009-11",0.33,2
"2009-12",1.33,6
"2010-1",5.33,5
"2010-2",6.8,4
"2010-3",14.72,13
"2010-4",27.88,10
"2010-5",7.4,7
"2010-6",29.17,15
"2010-7",22.62,28
"2010-8",18.82,26
"2010-9",20.57,12
"2010-10",7.82,10
"2010-11",2.1,2
"2011-1",12.97,5
"2011-2",7.5,5
"2011-3",18.8,18
"2012-12",1.48,1
"2013-1",1.37,1
"2013-3",7.53,6
"2014-8",6,12
"2015-3",0.5,1
"2015-4",1,2
"2015-5",1.5,3
"2015-6",13.5,27
"2015-7",15,30
"2015-8",20.5,41
"2015-9",7,14
"2015-11",5,10
"2016-1",2.33,7
"2016-2",4,8
"2016-7",19,38
"2016-8",3.5,7
"2016-9",3,6
"2017-1",3,6
"2017-3",1.5,3
